recipient,name,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,uuid_list,application_id_list
0x0000000000000000000000000000000000000000,Aragon ,847.0,1482.0,414,709,11,25,6,5,['564c6ffc-f42b-41d2-aee7-bf808411c32f'],['0xf8a4f14a041de9edea52c6bb4438db83e3628c99995957671b3084b32723b844']
0x0000000000000000000000000000000000000000,Arcadia Finance,1030.0,1504.0,407,701,84,167,5,5,['bfaa1c75-7b03-4b76-bdbb-b8a2916bfab9'],['0x855b930c39eb78fe9ab6929f03dcab557ba3fed5600cdc87e4bc9539fa790ed5']
0x0000000000000000000000000000000000000000,ArtGridz,15.0,15.0,10,10,1,1,0,0,['df4b7415-d79b-4bdb-86f0-2ce0d2b86dc2'],['0x536f966a3602942ba012f8f273a25783df522295838a0f862bdec18d7c0644a5']
0x0000000000000000000000000000000000000000,BLOBz,303.0,15599.0,129,14922,5,1901,1,84,['ac2dbb86-c2b4-4994-88ce-c77fa6b84c0f'],['0xea53703efa4ccaea7814ef95b215169c09678249fe91dd6c0e1c748b07fb2249']
0x0000000000000000000000000000000000000000,BLOBz on Base,40.0,16008.0,36,15222,17,2402,0,86,['e2f98d69-e781-4535-a13a-c779988cd03c'],['0x127f470810a1fc8bb8c585ade79d291c5e64ddfb0cc3bf5769eeb1585fc492da']
0x0000000000000000000000000000000000000000,BLOBz on Mode,3.0,15328.0,2,7651,2,1137,0,42,['e077e5b8-7fa9-4ea1-b2b2-0cc8f4e498b2'],['0x79178fe39ec3ab6a3688ad73f8ce494d0a0a28833510f1aa3ebde0da06297bc4']
0x0000000000000000000000000000000000000000,BLOBz on Zora,18.0,13310.0,17,12459,11,1971,0,70,['3a90aec1-27a2-4632-aca3-1e7f35a8f06e'],['0x8a0be8a1b3a8b882ab647db8c0b70afde2ded984327beda9ad708d5bf049e73b']
0x0000000000000000000000000000000000000000,CryptoRank Token & NFT Bridge,8273.0,20987.0,3856,10238,517,2218,47,61,['10d1b5dc-de39-4529-a9d8-d08517d87c8c'],['0xa582760a977184d9d9c113d86021550e64257fc8ea6c1a25d4d38d5aad017818']
0x0000000000000000000000000000000000000000,DUDEGEN,19796.0,19796.0,43,43,1,1,5,2,['da1a427e-de53-42d2-a8e1-92cc90c01a91'],['0xf278abe0c03067042febf07357000fa97b5ef7e3be0ee8035ac723951893e13a']
0x0000000000000000000000000000000000000000,Extra Finance,399541.0,788411.0,48927,66853,2925,3968,1628,1526,"['1c4bdd60-f869-4885-be1f-07c758a92898', '2042cf4f-a3dd-4f1c-946b-057cacfbda24', '68e080cb-967a-4311-9114-40a71e48d6bb', 'ef5a836a-3133-4322-bcda-5878dfbdddc1']","['0xbe14554df0ccce5c652c545f885bd290e60cb944d053166431071d40a882e482', '0x9d51d0c04f7ec9a5376734bff9fe47c6d2a2503e22ddcb2252ef6dcb860d84da', '0x52ea121254dc43ba13f64d9116a0d2c9d5d60084c3fc45196ab0ccfa80ad17cf', '0x5f7fdc64de58286a56bea9027950c48cf611649ba5100ec2de69eb05419f7188']"
